user_id,symbol,quantity,entry_price,entry_date,current_price,pnl,pnl_percent,risk_score,exposure,sector
1,RELIANCE,50,2380.50,2025-12-15,2456.75,3812.50,3.20,0.45,122837.50,Energy
1,TCS,30,3542.20,2026-01-05,3678.90,4101.00,3.86,0.38,110367.00,IT
1,INFY,80,1489.75,2025-11-20,1567.25,6200.00,5.20,0.35,125380.00,IT
1,HDFCBANK,60,1642.30,2025-12-28,1678.50,2172.00,2.20,0.42,100710.00,Banking
1,ICICIBANK,100,945.80,2026-01-10,987.65,4185.00,4.42,0.48,98765.00,Banking
1,SBIN,150,598.90,2025-12-01,623.80,3735.00,4.15,0.58,93570.00,Banking
1,BHARTIARTL,70,1198.40,2025-11-15,1234.50,2527.00,3.01,0.40,86415.00,Telecom
1,ITC,200,442.65,2025-10-20,456.30,2730.00,3.08,0.32,91260.00,FMCG
1,MARUTI,8,10956.80,2025-12-10,11234.50,2221.60,2.53,0.46,89876.00,Auto
1,SUNPHARMA,65,1398.50,2026-01-08,1456.90,3796.00,4.18,0.39,94698.50,Pharma
